rare grapheme personality synesthesia
lexical-gustatory word tasting
sequence-space number mapping
time-space calendar visualization
musical-color chromesthesia
sound-shape bouba-kiki effect
mirror-touch empathic synesthesia
pain-color associations
temperature-color thermesthesia
kinesthetic-auditory movement sounds
proprioceptive-visual body mapping
vestibular-auditory balance sounds
tactile-auditory skin hearing
pressure-visual compression sight
vibration-color oscillation hues
texture-temperature material sensing
roughness-pitch surface sounds
smoothness-tone quality correlation
hardness-brightness material glow
softness-warmth comfort synesthesia
wetness-color liquid visualization
dryness-texture desert synesthesia
sticky-taste adhesion flavors
slippery-sound lubrication audio
sharp-color cutting edge hues
dull-texture blunt force feeling
pointed-pitch needle sounds
rounded-warmth curve comfort
angular-coldness edge chill
curved-sweetness arc taste
straight-sourness line flavor
zigzag-bitterness jagged taste
spiral-dizziness rotation sensation
circular-completeness wholeness feeling
square-stability foundation sense
triangle-tension pointed stress
rectangle-order structural feeling
oval-softness gentle embrace
diamond-brilliance faceted light
star-excitement radiating energy
heart-love pulsing warmth
cross-sacrifice intersection weight
arrow-direction purposeful movement
wave-flow undulating rhythm
mountain-strength towering presence
valley-depth hollow resonance
river-continuity flowing persistence
ocean-vastness infinite expansion
desert-isolation empty silence
forest-complexity layered density
garden-cultivation ordered growth
field-openness expansive freedom
cave-mystery hidden depths
sky-limitlessness boundless space
cloud-softness floating lightness
rain-cleansing purifying drops
snow-silence muffled quietude
thunder-power explosive force
lightning-intensity electric shock
wind-movement invisible motion
fire-passion consuming heat
earth-groundedness solid foundation
water-adaptability fluid response
air-freedom unrestricted flow
space-possibility infinite potential
