David Bowie Ziggy Stardust sequined lightning bolt jumpsuit in burnished scarlet, platform boots towering, shock-orange mullet shimmering under glam rock spotlight
Prince Purple Rain lavender ruffled blouse beneath cropped bolero jacket, high-waisted satin pants, sparkling heeled boots, white Stratocaster slung low
Beyoncé Renaissance chrome-mirrored bodysuit with sculpted corsetry, thigh-high boots dripping rhinestones, futuristic visor framing honey blonde waves, handheld mic studded in crystals
Freddie Mercury Live Aid white racer tank tucked into slim faded jeans, studded armband and leather belt, Adidas boxing boots stomping to crowd chants, wireless mic clutched
Lady Gaga meat dress sculpted from crimson cuts, towering hoof-like boots, jeweled butcher knife clutch, porcelain makeup balancing avant-garde spectacle
Elvis Presley Vegas jumpsuit in ivory studded with gold sunbursts, cape lined in satin, wide jeweled belt cinching hips, patent boots flashing karate kicks
Madonna Blonde Ambition pointed cone corset by Gaultier, satin fingerless gloves, headset microphone hugging jawline, layered crucifix jewelry bouncing to choreography
Michael Jackson Thriller red leather moto jacket with black piping, sequined glove sparkling under moonwalk, flood pants revealing white socks, black loafers sliding effortlessly
Taylor Swift Eras Tour bejeweled fringe bodysuit in ombré pastels, thigh-high cowboy boots glittering, stack of gemstone bracelets, bedazzled guitar strap swinging
Janelle Monáe tuxedo-inspired monochrome catsuit with electric-yellow piping, structured shoulder armor, chrome visor shades, patent leather boots marching futuristically
Harry Styles floral Gucci suit in sherbet hues, sheer ruffled blouse billowing, pearl necklace layered with rings, heeled boots grounding high-energy strut
Billie Eilish oversized neon green logo tracksuit with matching slouch beanie, layered chains in gunmetal, chunky sneakers, contrasting black manicure gripping mic
KISS Destroyer era armored shoulder plates over studded bodysuits, platform dragon boots breathing fire, black-and-white warpaint, battle axes turned guitars
Lizzo crystal-encrusted bodysuit with dramatic feathered cape, thigh-high boots shimmering, custom flute strapped neon, glittered face jewels radiating joy
Elton John Dodger Stadium sapphire sequined baseball uniform, glitter visor perched atop feathered cap, rhinestone-covered platform sneakers, piano matching sparkle
Shakira World Cup gold fringe two-piece swirling with hip drops, knee-high metallic boots, layered coin belts jingling, tousled curls highlighted by stage lights
Ariana Grande oversized sweatshirt dress with thigh-high stiletto boots, high ponytail streaming, cat-ear headset, holographic choker catching lasers
Rosalía flamenco-tech hybrid red leather traje de luces, voluminous ruffled sleeves, thigh-high boots laced, chunky gold hoops framing fierce gaze
BLACKPINK Born Pink custom crystal corsets over pleated micro skirts, knee-high lace-up boots synchronized, jeweled chokers stacked, handheld LED mic packs pulsing magenta
Doja Cat planet HER latex bodysuit in liquid metallic lavender, clawed gloves, sculpted headpiece with iridescent sheen, knee armour plating, mic shimmering with rhinestones
Bad Bunny WWE-inspired utility vest covered in patches, cargo pants tucked into combat sneakers, tinted sunglasses, Puerto Rican flag bandana waving triumphantly
Florence Welch ethereal chiffon gown in gradient sunset hues, bell sleeves trailing in wind machine, bare feet adorned with ankle chains, crystal tambourine ringing
Rihanna Savage Fenty velour tracksuit with exposed bralette, diamond belly chain, platform sneakers reflecting stage pyro, finger armor catching spotlights
Måneskin glam-rock leather harnesses and lace-up trousers, smudged eyeliner, stacked platform boots, shimmering scarves draped around microphones
Jungkook Golden Stage black satin bomber with embroidered phoenix, mesh undershirt, leather joggers paired with high-top boots, fingerless gloves flicking choreography
