Industrial park office buildings, manufacturing facilities, warehouse distribution, truck traffic heavy
Business park corporate headquarters, research development, conference centers, executive dining
Technology park startup incubators, fiber optic infrastructure, parking structures multi-level, shuttle service campus
Medical park specialist offices, outpatient surgery centers, diagnostic imaging, pharmaceutical companies
Shopping center anchor stores, strip mall retailers, parking lots expansive, chain restaurants
Power center big box stores, warehouse clubs, home improvement, automotive services
Lifestyle center outdoor shopping, upscale dining, entertainment venues, walking paths landscaped
Outlet mall discount shopping, tourist destination, bus tours, food court
Mall indoor enclosed, department stores anchor, specialty retailers, food court dining
Mixed-use development residential commercial, walkable neighborhood, public transportation, sustainability features
Transit-oriented development train station proximity, high density housing, retail ground floor, parking reduced
Entertainment complex movie theaters, restaurants dining, bowling alley, arcade games
Sports complex multiple venues, parking lots extensive, concession stands, ticket offices
Convention center exhibition halls, meeting rooms, catering facilities, parking structures
Airport industrial cargo facilities, maintenance hangars, fuel storage, ground transportation
Port industrial container yards, warehouse distribution, rail connections, truck terminals
Rail yard switching operations, maintenance facilities, cargo loading, security fencing
Truck stop fuel stations, restaurants dining, shower facilities, parking overnight
Highway interchange service centers, gas stations, fast food, traveler information
Rest area picnic tables, restrooms facilities, vending machines, pet walking
Truck weigh station compliance checking, inspection facilities, enforcement officers, bypass routes
Border crossing customs facilities, inspection lanes, duty-free shopping, passport control
Military base housing soldiers, commissary shopping, base exchange, recreation facilities
Prison complex security perimeter, guard towers, visitor center, employee parking
Government complex federal offices, courthouse facilities, security screening, public parking
