Bittersweet nostalgic longing
Schadenfreude malicious pleasure
Melancholy beautiful sadness
Anxious excitement nervous anticipation
Guilty pleasure forbidden enjoyment
Righteous anger justified fury
Compassionate frustration caring annoyance
Hopeful despair optimistic depression
Proud shame conflicted achievement
Loving resentment bitter affection
Fearful curiosity cautious interest
Joyful mourning celebration grief
Peaceful agitation calm restlessness
Confident insecurity assured doubt
Empathetic detachment caring distance
Grateful resentment appreciative anger
Humble arrogance modest pride
Patient urgency calm haste
Tender aggression gentle force
Sacred profanity holy irreverence
