Mime invisible wall interaction
Gesture expressive hand movements
Posture character body alignment
Gait distinctive walking patterns
Dance integrated movement sequences
Acrobatics aerial physical feats
Combat choreographed fight scenes
Mask neutral face exploration
Puppet manipulation object animation
Clown physical comedy techniques
Statue frozen moment captures
Robot mechanical movement precision
Animal behavior imitation
Weight shift gravity manipulation
Balance unstable equilibrium play
Rhythm musical movement timing
Flow continuous motion streams
Isolation body part independence
Tension controlled muscle engagement
Release relaxation and letting go
