Origin myth creation recounting
Hero journey legend sharing
Ancestor deed story preserving
Moral lesson tale teaching
Cautionary warning story telling
Trickster wisdom narrative sharing
Love story romance celebrating
Adventure tale courage inspiring
Mystery story wonder creating
Ghost story fear acknowledging
Animal fable lesson teaching
Plant story healing sharing
Weather story nature explaining
Star story cosmos connecting
Dream story vision sharing
Prophecy story future glimpsing
History story past honoring
Migration story journey remembering
Battle story victory commemorating
Peace story harmony celebrating
